fecha_compra,genero,categoria,id_producto,id_cliente,cantidad,precio_unidad,total_venta,descuento,valor_pagado
2025-07-06,Mujer,Pantalones,29040,1886584924,3.0,80.59010149398176,241.7703044819453,1.3723647287132994,-90.02673383935135
2025-03-27,Mujer,Pantalones,86750,2793928419,,111.30957178296055,,0.09162416142893155,
2025-05-29,Hombre,Zapatos,51050,5573750159,5.0,84.95938848056149,424.7969424028074,0.14568839122003593,362.9089592689521
2024-12-26,Mujer,Zapatos,19355,5047858112,4.0,49.506306262698935,198.02522505079574,0.02396189116038896,193.28016616111705
2025-02-22,Mujer,Ropa interior,10624,6080479413,5.0,121.0885489848787,605.4427449243935,0.0011704256378043843,604.7341192135113
2025-04-14,Hombre,Pantalones,61093,365775550,2.0,123.93477046143495,247.8695409228699,0.014148872279222235,244.36246644644277
2025-06-09,Mujer,nan,24886,9103335357,1.0,78.85991221665093,78.85991221665093,0.033237026625546395,76.23884321461784
2024-09-12,Mujer,Zapatos,39826,8098838237,3.0,65.60436136589368,196.81308409768104,0.03700604040982847,189.5298111543793
2025-09-05,Hombre,nan,29937,2609544631,,91.57962206995751,,0.13055439375754527,
2025-08-27,nan,Zapatos,92981,3891350696,1.0,30.640355628715348,30.640355628715348,0.16039682795324525,25.725739778510043
2024-10-26,Hombre,Pantalones,13947,2809707147,4.0,51.99448986186546,207.97795944746184,1.0456594786399007,-9.496165196961522
2025-08-02,Mujer,Ropa interior,69040,3742220916,,137.70635782604296,,0.08316166962220435,
2025-04-02,Mujer,Pantalones,30574,7740767438,2.0,66.06021863399374,132.12043726798748,0.009524814590506026,130.86201459939332
2024-12-05,Mujer,Ropa interior,75882,7827943546,5.0,46.52075305120723,232.60376525603616,0.14366477066570513,199.1867986645482
2025-01-03,Hombre,Camisetas,3383,5677475886,,101.4283826471467,,0.1997287878044169,
2025-08-06,Mujer,Camisetas,90103,4063074915,3.0,117.1771803552578,351.5315410657734,0.04456221180910298,335.86651807522003
2025-04-15,Mujer,Ropa interior,30260,3768549956,2.0,92.15180585526345,184.3036117105269,0.18916219641320667,149.44033571247684
2025-05-18,Hombre,Camisetas,28017,1794639202,4.0,48.9612490809697,195.8449963238788,0.041378211470968256,187.74128065045835
2025-06-25,Hombre,Zapatos,71847,6685178274,1.0,4902.866149039812,4902.866149039812,0.04769012618987161,4669.047843700054
2024-11-21,Hombre,Pantalones,3528,2873524062,4.0,16.35442455247682,65.41769820990729,0.10834124915303789,58.33026306912948
2025-08-21,Mujer,Camisetas,89659,8414500618,1.0,67.57265079132154,67.57265079132154,0.059187136004051705,63.573219118781296
2025-07-06,Hombre,Camisetas,33558,4397087898,1.0,122.09027067760681,122.09027067760681,1.4445156334712275,-54.271034010930016
